4
0,100,0
25,50,0
75,50,0
100,100,0
0,50,25
25,100,25
75,100,25
100,50,25
0,50,75
25,100,75
75,100,75
100,50,75
0,100,100
25,50,100
75,50,100
100,100,100
0,100,0
25,50,0
75,50,0
100,100,0
0,50,50
25,100,50
75,100,50
100,50,50
0,50,150
25,100,150
75,100,150
100,50,150
0,100,200
25,50,200
75,50,200
100,100,200
0,100,0
50,50,0
150,50,0
200,100,0
0,50,25
50,100,25
150,100,25
200,50,25
0,50,75
50,100,75
150,100,75
200,50,75
0,100,100
50,50,100
150,50,100
200,100,100
0,100,0
50,50,0
150,50,0
200,100,0
0,50,50
50,100,50
150,100,50
200,50,50
0,50,150
50,100,150
150,100,150
200,50,150
0,100,200
50,50,200
150,50,200
200,100,200
13
0,100,80
0,100,0
200,100,0
200,100,20
200,100,40
150,100,60
150,100,80
150,100,100
200,100,120
200,100,140
200,100,160
0,100,160
0,100,80
0
